Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),impact_score,likelihood,risk_score,Risk Category
India,2019,Ransomware,Education,0.302140918685295,0.583240176499258,Insider,Zero-day,Firewall,0.5070422535211268,0.4274509629966502,0.0003333333333333333,0.00014248365433221672,Low
France,2023,DDoS,Healthcare,0.5816664991456428,0.5998462787139053,Nation-state,Unpatched Software,AI-based Detection,0.47887323943661975,0.566561781074317,0.0006666666666666666,0.00037770785404954465,Medium
France,2024,DDoS,IT,0.4775354306965524,0.9225619013401575,Unknown,Social Engineering,Encryption,0.8873239436619719,0.6930010744827177,0.0006666666666666666,0.0004620007163218118,Medium
Australia,2022,Phishing,Banking,0.6413709920595035,0.12046004297390642,Nation-state,Zero-day,Encryption,0.49295774647887325,0.45541505821769834,0.0013333333333333333,0.0006072200776235978,High
Russia,2017,Man-in-the-Middle,Healthcare,0.12604281837370593,0.8504049695209521,Hacker Group,Unpatched Software,AI-based Detection,0.9295774647887325,0.5040583930008851,0.0006666666666666666,0.0003360389286672567,Medium
India,2015,DDoS,IT,0.9311488591818274,0.8054895312401485,Insider,Social Engineering,Encryption,0.7746478873239437,0.8621508664277471,0.0006666666666666666,0.0005747672442851647,High
UK,2019,Malware,Telecommunications,0.1357925419640165,0.5784754171040951,Insider,Social Engineering,Firewall,0.3802816901408451,0.3174952341414058,0.001,0.0003174952341414058,Medium
India,2016,DDoS,IT,0.36134284852749027,0.26159039482151425,Nation-state,Social Engineering,AI-based Detection,0.07042253521126761,0.2732330497524529,0.0006666666666666666,0.00018215536650163525,Low
Brazil,2015,Ransomware,Retail,0.4930143733038496,0.9204742541865533,Hacker Group,Weak Passwords,Antivirus,0.5915492957746479,0.6409593220628205,0.0003333333333333333,0.00021365310735427348,Low
France,2023,Ransomware,Education,0.17308272188159615,0.2614432787469314,Insider,Social Engineering,VPN,0.14084507042253522,0.19314335864938453,0.0006666666666666666,0.0001287622390995897,Low
India,2017,DDoS,Government,0.766006633832546,0.24597507433364926,Nation-state,Unpatched Software,Firewall,0.4084507042253521,0.5384859800614382,0.0013333333333333333,0.0007179813067485842,High
Japan,2022,Phishing,Telecommunications,0.20022112775153286,0.18587065194438412,Nation-state,Weak Passwords,Antivirus,0.4366197183098592,0.24319570312105349,0.0006666666666666666,0.00016213046874736899,Low
Brazil,2023,DDoS,Telecommunications,0.5160317619861293,0.6991346172129811,Hacker Group,Social Engineering,VPN,0.4084507042253521,0.5494464070020294,0.0016666666666666668,0.0009157440116700491,High
China,2021,Phishing,Retail,0.5081917780681476,0.6286339922198615,Insider,Zero-day,AI-based Detection,0.7183098591549296,0.5863480585310182,0.001,0.0005863480585310182,High
Japan,2022,Malware,Education,0.5280932757061012,0.5705201403907684,Nation-state,Unpatched Software,VPN,0.7323943661971831,0.5816815532097177,0.0013333333333333333,0.0007755754042796236,High
Japan,2022,Ransomware,Banking,0.25801588099306466,0.9379690575864358,Insider,Unpatched Software,Encryption,0.323943661971831,0.4751873901668293,0.0003333333333333333,0.00015839579672227643,Low
France,2020,Malware,IT,0.8726505176399638,0.5998062471289848,Unknown,Social Engineering,Antivirus,0.11267605633802817,0.6388023442262829,0.001,0.000638802344226283,High
Australia,2015,DDoS,Government,0.8262136898180723,0.9050951200497193,Hacker Group,Zero-day,Encryption,0.8450704225352113,0.8536494654309942,0.0016666666666666668,0.001422749109051657,High
UK,2022,SQL Injection,Education,0.6607699266257916,0.6789877213121153,Hacker Group,Social Engineering,AI-based Detection,0.14084507042253522,0.5622502937910374,0.0006666666666666666,0.00037483352919402495,Medium
France,2020,Malware,Telecommunications,0.1797165544275807,0.246670623121643,Hacker Group,Zero-day,AI-based Detection,0.46478873239436624,0.2568172106291565,0.0006666666666666666,0.000171211473752771,Low
India,2015,SQL Injection,IT,0.42707809830133686,0.08489798450977822,Unknown,Unpatched Software,Encryption,0.8450704225352113,0.4080225290106442,0.001,0.0004080225290106442,Medium
Japan,2022,Phishing,Banking,0.9847220826213691,0.9728125491012409,Nation-state,Zero-day,Antivirus,0.28169014084507044,0.8405428342100709,0.0013333333333333333,0.0011207237789467612,High
Brazil,2023,Phishing,Healthcare,0.14081817268067146,0.11344250613734237,Nation-state,Weak Passwords,VPN,0.36619718309859156,0.17768127480125673,0.0013333333333333333,0.00023690836640167563,Low
Brazil,2020,Phishing,Banking,0.17338425972459545,0.7396996230025491,Hacker Group,Zero-day,Encryption,0.4225352112676057,0.39310905901658355,0.002,0.0007862181180331671,High
China,2020,Man-in-the-Middle,Education,0.1940898582772138,0.7229343952378428,Nation-state,Zero-day,Firewall,0.971830985915493,0.5082914448930583,0.001,0.0005082914448930584,Medium
Japan,2021,SQL Injection,Retail,0.8244044627600764,0.21411693826429054,Insider,Unpatched Software,Encryption,0.15492957746478872,0.507423228352283,0.0006666666666666666,0.00033828215223485533,Medium
USA,2022,DDoS,Retail,0.3219419037089155,0.23507547454941952,Insider,Weak Passwords,AI-based Detection,0.8591549295774649,0.40332458013477657,0.0006666666666666666,0.00026888305342318437,Low
Brazil,2016,DDoS,Education,0.9697457030857374,0.14049885359548686,Nation-state,Unpatched Software,VPN,0.9859154929577465,0.724205606213064,0.0003333333333333333,0.000241401868737688,Low
Russia,2015,DDoS,Telecommunications,0.9638154588400846,0.2381198765826237,Unknown,Zero-day,AI-based Detection,0.02816901408450704,0.5589774952117308,0.0006666666666666666,0.0003726516634744872,Medium
India,2021,SQL Injection,IT,0.9809026032767113,0.827204664480275,Nation-state,Zero-day,VPN,0.7887323943661972,0.8963591798556776,0.001,0.0008963591798556777,High
UK,2019,Man-in-the-Middle,Retail,0.3947130364860791,0.757867957818719,Nation-state,Unpatched Software,Encryption,0.9577464788732395,0.6162662013633031,0.0003333333333333333,0.00020542206712110102,Low
USA,2017,DDoS,IT,0.7399738667202735,0.40300196855318854,Hacker Group,Zero-day,VPN,0.8873239436619719,0.6683523126584877,0.0013333333333333333,0.0008911364168779836,High
Australia,2020,DDoS,Banking,0.9292391195094986,0.9432101928421526,Insider,Weak Passwords,Antivirus,0.25352112676056343,0.7982868429595077,0.002,0.0015965736859190154,High
France,2022,Malware,Healthcare,0.19931651422253494,0.7951093412702623,Unknown,Weak Passwords,AI-based Detection,0.49295774647887325,0.4367826087881208,0.0006666666666666666,0.0002911884058587472,Low
Australia,2016,SQL Injection,Government,0.2696753442557041,0.4812487052284253,Hacker Group,Unpatched Software,Antivirus,0.9014084507042254,0.4594939738372247,0.0006666666666666666,0.0003063293158914831,Medium
India,2016,DDoS,Education,0.2061513719971857,0.6027435646725267,Hacker Group,Unpatched Software,VPN,0.3943661971830986,0.36277199483697053,0.0006666666666666666,0.00024184799655798035,Low
UK,2018,Man-in-the-Middle,Retail,0.13227460046235806,0.4554643613811298,Hacker Group,Zero-day,Firewall,0.5492957746478874,0.3126357635750955,0.0003333333333333333,0.00010421192119169849,Low
Japan,2017,Phishing,Telecommunications,0.7572620363855664,0.383273402714742,Hacker Group,Zero-day,VPN,0.4225352112676057,0.578120081260727,0.0006666666666666666,0.00038541338750715134,Medium
USA,2023,DDoS,Retail,0.5949341642376118,0.1132773758495453,Hacker Group,Zero-day,VPN,0.971830985915493,0.5258164920567681,0.0006666666666666666,0.00035054432803784536,Medium
Australia,2019,Malware,Government,0.21328776761483567,0.9847639787792569,Insider,Unpatched Software,Antivirus,0.22535211267605634,0.4471434999764062,0.0006666666666666666,0.0002980956666509374,Low
UK,2015,Phishing,IT,0.8551613227460046,0.01681826961472602,Hacker Group,Weak Passwords,AI-based Detection,0.4084507042253521,0.5143162831024906,0.0006666666666666666,0.00034287752206832705,Medium
France,2018,Phishing,Healthcare,0.7499246155392503,0.5813376754259111,Insider,Social Engineering,Encryption,0.7042253521126761,0.6902086808199337,0.0013333333333333333,0.0009202782410932449,High
India,2019,Man-in-the-Middle,Education,0.10352799276309178,0.7996809482681837,Nation-state,Zero-day,AI-based Detection,0.3098591549295775,0.3536401118479165,0.0013333333333333333,0.0004715201491305553,Medium
India,2020,DDoS,Banking,0.8620966931349885,0.898940263868192,Nation-state,Unpatched Software,AI-based Detection,0.1267605633802817,0.7260825384040082,0.002,0.0014521650768080164,High
UK,2021,Malware,Healthcare,0.669414011458438,0.6989794948214141,Unknown,Weak Passwords,Antivirus,0.7887323943661972,0.7021473330488827,0.0016666666666666668,0.0011702455550814711,High
India,2018,DDoS,Healthcare,0.7631922806312194,0.30397783851458804,Hacker Group,Unpatched Software,Firewall,0.7746478873239437,0.6277190693347748,0.0016666666666666668,0.0010461984488912915,High
Brazil,2015,Phishing,Banking,0.43119911548899387,0.19135197670962392,Hacker Group,Social Engineering,VPN,0.9014084507042254,0.45328684089822924,0.001,0.00045328684089822926,Medium
Australia,2024,Phishing,Education,0.9329580862398231,0.0928342462202678,Unknown,Unpatched Software,VPN,0.18309859154929578,0.530949035295851,0.0016666666666666668,0.0008849150588264185,High
India,2019,Phishing,Healthcare,0.35279927630917685,0.04032581706966797,Nation-state,Zero-day,VPN,0.323943661971831,0.25328611566985504,0.0006666666666666666,0.00016885741044657003,Low
China,2015,Phishing,Government,0.42446477032867624,0.31039490157734456,Nation-state,Zero-day,Firewall,0.9014084507042254,0.48563254577838655,0.0003333333333333333,0.00016187751525946218,Low
India,2024,DDoS,Education,0.7324354206452911,0.4756703038697533,Nation-state,Social Engineering,Firewall,0.7183098591549296,0.6525807733145574,0.0003333333333333333,0.0002175269244381858,Low
UK,2018,Malware,Retail,0.7305256809729622,0.40395472027429646,Unknown,Weak Passwords,Antivirus,0.4366197183098592,0.5737732002307419,0.0006666666666666666,0.0003825154668204946,Medium
China,2024,Malware,Education,0.7221831339833149,0.13240646870380732,Hacker Group,Zero-day,Firewall,0.7605633802816901,0.5529261836591377,0.0006666666666666666,0.00036861745577275847,Medium
UK,2016,DDoS,Banking,0.8762689717559555,0.3362172754303146,Nation-state,Social Engineering,Firewall,0.14084507042253522,0.5671686825915792,0.0006666666666666666,0.00037811245506105275,Medium
Australia,2022,Malware,Healthcare,0.6700170871444366,0.5664599368902064,Unknown,Weak Passwords,Encryption,0.8732394366197184,0.6795944119632239,0.001,0.0006795944119632239,High
Russia,2017,Man-in-the-Middle,Education,0.8335511106643886,0.313454315454894,Nation-state,Weak Passwords,Antivirus,0.2112676056338028,0.553065371095423,0.0006666666666666666,0.00036871024739694864,Medium
France,2016,DDoS,Banking,0.2830435219620063,0.9963661328788415,Unknown,Zero-day,VPN,0.3802816901408451,0.5164879388728246,0.0016666666666666668,0.0008608132314547078,High
China,2021,Phishing,Healthcare,0.5481957985727209,0.8718639006175873,Insider,Unpatched Software,Firewall,0.3943661971830986,0.6145303089082564,0.001,0.0006145303089082565,High
Brazil,2015,DDoS,IT,0.432304754246658,0.9409744288243425,Unknown,Weak Passwords,AI-based Detection,0.5633802816901409,0.6111207621086598,0.0016666666666666668,0.001018534603514433,High
USA,2015,Ransomware,Telecommunications,0.20333701879585891,0.29701934826578175,Nation-state,Social Engineering,Firewall,0.9154929577464789,0.3738729054269597,0.001,0.0003738729054269597,Medium
UK,2019,Phishing,IT,0.7808825007538447,0.027919028113181303,Insider,Unpatched Software,Antivirus,0.8732394366197184,0.5734648461348204,0.0006666666666666666,0.0003823098974232136,Medium
Brazil,2022,Phishing,Telecommunications,0.2866619760779978,0.45671935156838755,Nation-state,Zero-day,Encryption,0.1267605633802817,0.30569890618557155,0.0003333333333333333,0.00010189963539519052,Low
Germany,2018,Ransomware,Banking,0.8750628203839583,0.9333404055800026,Nation-state,Unpatched Software,VPN,0.33802816901408456,0.7851391656687968,0.0006666666666666666,0.0005234261104458645,Medium
Australia,2023,Phishing,Telecommunications,0.24273796361443364,0.2212625761726002,Nation-state,Zero-day,AI-based Detection,0.7746478873239437,0.3426773321237856,0.0013333333333333333,0.0004569031094983808,Medium
France,2017,Phishing,Banking,0.17469092371092573,0.016173761097505932,Hacker Group,Unpatched Software,Encryption,0.15492957746478872,0.12318350567767239,0.002,0.0002463670113553448,Low
USA,2022,Ransomware,Education,0.2061513719971857,0.7879496923072304,Nation-state,Weak Passwords,Antivirus,0.11267605633802817,0.36199580495836764,0.001,0.00036199580495836764,Medium
Russia,2022,SQL Injection,Banking,0.6005628706402654,0.6626158038692529,Unknown,Social Engineering,Firewall,0.5492957746478874,0.6089253314104861,0.0006666666666666666,0.00040595022094032406,Medium
Brazil,2018,Malware,Education,0.06161423258618958,0.27430142382339673,Hacker Group,Zero-day,Encryption,0.26760563380281693,0.16661867020067722,0.0006666666666666666,0.00011107911346711815,Low
France,2024,Phishing,Government,0.05327168559654237,0.5086263061555567,Hacker Group,Unpatched Software,Firewall,0.9154929577464789,0.362322326194234,0.0013333333333333333,0.00048309643492564533,Medium
Brazil,2021,DDoS,IT,0.7011759975876973,0.7404171891622491,Unknown,Weak Passwords,Encryption,0.971830985915493,0.7670793527256219,0.0016666666666666668,0.0012784655878760366,High
Australia,2024,Malware,Healthcare,0.6189566790632225,0.9698452078690087,Hacker Group,Social Engineering,AI-based Detection,0.056338028169014086,0.6116995075261167,0.001,0.0006116995075261167,High
Germany,2016,Man-in-the-Middle,Healthcare,0.9015981505678964,0.7796851716003927,Nation-state,Social Engineering,AI-based Detection,0.7464788732394366,0.8340004014119533,0.0006666666666666666,0.0005560002676079688,High
Japan,2019,Malware,Banking,0.4389385867926425,0.6052195181998598,Insider,Weak Passwords,Encryption,0.36619718309859156,0.47427458547599755,0.0003333333333333333,0.00015809152849199917,Low
France,2023,Malware,Government,0.5496029751733843,0.2747387688886532,Insider,Zero-day,Encryption,0.9154929577464789,0.5403217098025839,0.0003333333333333333,0.0001801072366008613,Low
Japan,2019,Man-in-the-Middle,Banking,0.4102924917077094,0.6451820486363742,Nation-state,Zero-day,Firewall,0.49295774647887325,0.49729240974054156,0.001,0.0004972924097405416,Medium
UK,2015,DDoS,Telecommunications,0.32586189566790635,0.15737817137721663,Nation-state,Unpatched Software,Antivirus,0.943661971830986,0.3988767936133154,0.0006666666666666666,0.0002659178624088769,Low
Brazil,2022,DDoS,Retail,0.14735149261232286,0.15673366285999654,Nation-state,Social Engineering,AI-based Detection,0.9577464788732395,0.3122451409388083,0.001,0.0003122451409388083,Medium
India,2020,SQL Injection,Education,0.6231782088652127,0.5506664758494453,Nation-state,Weak Passwords,Encryption,0.04225352112676056,0.485239751412792,0.001,0.000485239751412792,Medium
Australia,2017,SQL Injection,Healthcare,0.6876067946527289,0.6341243240917084,Hacker Group,Unpatched Software,Firewall,0.9154929577464789,0.7171392861031727,0.0003333333333333333,0.00023904642870105756,Low
UK,2023,DDoS,Banking,0.811739873354106,0.5475029798511025,Nation-state,Weak Passwords,AI-based Detection,0.02816901408450704,0.5757546334492851,0.0006666666666666666,0.0003838364222995234,Medium
UK,2024,DDoS,Healthcare,0.5810634234596442,0.48765475960532867,Hacker Group,Weak Passwords,Antivirus,0.5633802816901409,0.5495041959494489,0.001,0.0005495041959494489,High
France,2023,Man-in-the-Middle,Retail,0.8860186953462661,0.42697988713094637,Hacker Group,Unpatched Software,Antivirus,0.5774647887323944,0.6865962715588958,0.0013333333333333333,0.000915461695411861,High
Australia,2023,Malware,Telecommunications,0.010151774047642982,0.9552316777937794,Hacker Group,Unpatched Software,AI-based Detection,0.7605633802816901,0.44375806641829335,0.0013333333333333333,0.0005916774218910578,High
UK,2020,Ransomware,Banking,0.48979796964519046,0.12827120598151942,Nation-state,Weak Passwords,Firewall,0.7323943661971831,0.4298592198564877,0.0013333333333333333,0.0005731456264753169,High
Germany,2024,Phishing,Healthcare,0.8446074982410293,0.18915524348711135,Nation-state,Social Engineering,Firewall,0.0,0.47905032216664806,0.0003333333333333333,0.000159683440722216,Low
France,2021,DDoS,Healthcare,0.9059201929842196,0.6033790660831396,Nation-state,Unpatched Software,AI-based Detection,0.19718309859154928,0.6734104360353614,0.0006666666666666666,0.00044894029069024097,Medium
UK,2021,DDoS,Education,0.8016886119207962,0.27638706939775487,Nation-state,Social Engineering,Encryption,0.49295774647887325,0.5823519760754993,0.0006666666666666666,0.0003882346507169995,Medium
Japan,2023,Malware,Education,0.22484671826314206,0.9756277703107753,Insider,Unpatched Software,Firewall,0.676056338028169,0.5403229578304374,0.0013333333333333333,0.0007204306104405832,High
India,2018,Ransomware,Retail,0.23409387878178714,0.4867700615785856,Hacker Group,Unpatched Software,Antivirus,0.14084507042253522,0.2912469719489763,0.0006666666666666666,0.0001941646479659842,Low
Japan,2021,Ransomware,IT,0.35109056186551413,0.9698582181341079,Hacker Group,Weak Passwords,Firewall,0.33802816901408456,0.5341083801758063,0.001,0.0005341083801758064,Medium
Australia,2022,Malware,Banking,0.7465071866519248,0.1512943712589233,Insider,Zero-day,Encryption,0.23943661971830985,0.4665292286473014,0.001,0.00046652922864730143,Medium
Japan,2022,SQL Injection,IT,0.6649914564277817,0.7497125231807897,Unknown,Social Engineering,AI-based Detection,0.4084507042253521,0.6390996260131981,0.0006666666666666666,0.00042606641734213205,Medium
Brazil,2015,Malware,Retail,0.7802794250678461,0.07137531512363254,Hacker Group,Unpatched Software,VPN,0.47887323943661975,0.5073269549583368,0.0013333333333333333,0.0006764359399444491,High
Germany,2018,Phishing,Banking,0.10945823700874462,0.970025350001151,Hacker Group,Weak Passwords,Antivirus,0.5633802816901409,0.45841277984274575,0.0013333333333333333,0.0006112170397903277,High
Germany,2020,SQL Injection,Education,0.877877173585285,0.84274692732566,Unknown,Weak Passwords,Antivirus,0.25352112676056343,0.7424668903424533,0.0016666666666666668,0.0012374448172374221,High
Brazil,2023,Man-in-the-Middle,IT,0.09729621067443965,0.9341960807076785,Nation-state,Social Engineering,Encryption,0.5633802816901409,0.4415829858875515,0.001,0.00044158298588755154,Medium
UK,2019,Malware,Education,0.039400944818574736,0.393634577681791,Nation-state,Unpatched Software,AI-based Detection,0.1267605633802817,0.163142958389881,0.001,0.00016314295838988098,Low
Brazil,2020,DDoS,Banking,0.7687204744195397,0.7086841517957669,Unknown,Weak Passwords,Encryption,0.5070422535211268,0.6983739334527252,0.0013333333333333333,0.0009311652446036336,High
Japan,2020,DDoS,Healthcare,0.7311287566589607,0.136445655622286,Unknown,Zero-day,VPN,0.5633802816901409,0.5191741313541943,0.0006666666666666666,0.00034611608756946285,Medium
Russia,2018,Malware,Telecommunications,0.07649009950748818,0.7381163738189432,Unknown,Social Engineering,VPN,0.47887323943661975,0.35545460978675103,0.0006666666666666666,0.000236969739857834,Low
Japan,2020,Man-in-the-Middle,Banking,0.2316815760377928,0.10854764409118796,Insider,Unpatched Software,Antivirus,0.7042253521126761,0.289250151668788,0.0006666666666666666,0.00019283343444585866,Low
Australia,2016,Phishing,Banking,0.927630917680169,0.28511195333117834,Nation-state,Unpatched Software,VPN,0.7605633802816901,0.7014617208957761,0.0006666666666666666,0.0004676411472638507,Medium
USA,2021,Malware,Retail,0.7097195698060107,0.9622031783076849,Hacker Group,Unpatched Software,Antivirus,0.7887323943661972,0.8012672172685502,0.0016666666666666668,0.0013354453621142505,High
Australia,2023,Man-in-the-Middle,Banking,0.5713136998693337,0.4716911643286554,Unknown,Zero-day,Firewall,0.3943661971830986,0.5060374386698832,0.0006666666666666666,0.00033735829244658876,Medium
UK,2024,Phishing,Government,0.811739873354106,0.9942634738808921,Unknown,Weak Passwords,Firewall,0.33802816901408456,0.7717546126441376,0.001,0.0007717546126441376,High
China,2024,Ransomware,Telecommunications,0.06854960297517339,0.17887313090028034,Nation-state,Social Engineering,AI-based Detection,0.46478873239436624,0.18089448723654405,0.0016666666666666668,0.00030149081206090676,Low
Germany,2022,Man-in-the-Middle,Healthcare,0.5605588501356921,0.6992567135469886,Nation-state,Unpatched Software,Encryption,0.33802816901408456,0.5576620729347596,0.0013333333333333333,0.0007435494305796794,High
Russia,2021,Malware,IT,0.8368680269373808,0.9212858945708164,Insider,Social Engineering,Encryption,0.323943661971831,0.7596085142343015,0.0006666666666666666,0.000506405676156201,Medium
UK,2023,SQL Injection,Banking,0.8557643984320034,0.87605720913801,Nation-state,Unpatched Software,Firewall,0.49295774647887325,0.7892909112531793,0.0006666666666666666,0.0005261939408354528,Medium
Russia,2016,Malware,Retail,0.6120213086742387,0.4151775751067593,Hacker Group,Weak Passwords,Encryption,0.5492957746478874,0.5404230817987246,0.001,0.0005404230817987245,High
Russia,2023,Ransomware,Banking,0.41853452608302344,0.222044192868173,Hacker Group,Social Engineering,VPN,0.5211267605633804,0.3801058730146397,0.0016666666666666668,0.0006335097883577329,High
France,2021,Man-in-the-Middle,Retail,0.9438134485877979,0.3569496332606427,Unknown,Unpatched Software,VPN,0.9859154929577465,0.7761747128636411,0.0013333333333333333,0.0010348996171515214,High
Australia,2021,Malware,Telecommunications,0.8461151874560259,0.7084259480730296,Hacker Group,Zero-day,AI-based Detection,0.7464788732394366,0.7848811527978091,0.0016666666666666668,0.0013081352546630153,High
Russia,2024,Malware,Banking,0.9330585988541563,0.5175943819673723,Nation-state,Social Engineering,Firewall,0.47887323943661975,0.7175822619046138,0.001,0.0007175822619046138,High
Germany,2023,Malware,Government,0.7031862498743592,0.3686698805357428,Hacker Group,Unpatched Software,VPN,0.3098591549295775,0.5241659200838179,0.0006666666666666666,0.00034944394672254526,Medium
China,2023,Man-in-the-Middle,Healthcare,0.4845713136998694,0.4210992473061246,Nation-state,Unpatched Software,Firewall,0.8591549295774649,0.540446416957265,0.001,0.000540446416957265,High
India,2018,Phishing,IT,0.6888129460247262,0.2819374486469825,Hacker Group,Unpatched Software,Encryption,0.5070422535211268,0.5303961583106832,0.001,0.0005303961583106832,Medium
China,2018,Malware,IT,0.4893959191878581,0.11721147985760766,Insider,Social Engineering,Encryption,0.295774647887324,0.3390163331286762,0.0003333333333333333,0.00011300544437622539,Low
France,2016,Phishing,Government,0.2683686802693738,0.5369246335358598,Unknown,Zero-day,Encryption,0.8591549295774649,0.46709271611093783,0.001,0.00046709271611093786,Medium
France,2023,Ransomware,Retail,0.6390592019298422,0.2378316491711961,Unknown,Unpatched Software,VPN,0.8450704225352113,0.5598931802233222,0.0003333333333333333,0.00018663106007444074,Low
Japan,2022,Malware,Telecommunications,0.3815458840084431,0.03942110325046463,Insider,Social Engineering,VPN,0.4366197183098592,0.28992321664133275,0.0013333333333333333,0.00038656428885511034,Medium
India,2018,DDoS,Government,0.8080209066237813,0.268744039046808,Nation-state,Zero-day,Antivirus,0.647887323943662,0.6142111298146655,0.0006666666666666666,0.00040947408654311036,Medium
France,2015,Malware,Education,0.1533822494723088,0.0,Nation-state,Unpatched Software,Antivirus,0.8028169014084507,0.23725450501784456,0.0006666666666666666,0.00015816967001189638,Low
USA,2021,SQL Injection,Telecommunications,0.8215901095587497,0.9833208401428728,Unknown,Unpatched Software,Encryption,0.8873239436619719,0.883256095554631,0.0006666666666666666,0.0005888373970364207,High
Germany,2021,Malware,Government,0.8264147150467385,0.21945214774457047,Nation-state,Social Engineering,Firewall,0.4507042253521127,0.569183846917163,0.0006666666666666666,0.0003794558979447753,Medium
Japan,2016,Man-in-the-Middle,Retail,0.18554628605890042,0.5309419131694908,Nation-state,Unpatched Software,VPN,0.15492957746478872,0.2830416324732552,0.001,0.0002830416324732552,Low
UK,2017,SQL Injection,IT,0.5316112172077596,0.5761405749136068,Insider,Unpatched Software,Antivirus,0.5070422535211268,0.5400562317821872,0.0016666666666666668,0.0009000937196369787,High
UK,2017,Man-in-the-Middle,Government,0.4864810533721982,0.1768695500750092,Unknown,Zero-day,Antivirus,0.943661971830986,0.4850337860747991,0.0013333333333333333,0.0006467117147663987,High
France,2017,SQL Injection,Healthcare,0.6057895265855866,0.21192020504177797,Hacker Group,Social Engineering,Encryption,0.014084507042253521,0.36928772621377737,0.002,0.0007385754524275547,High
Germany,2021,DDoS,Banking,0.9120514624585386,0.008369603617254015,Hacker Group,Unpatched Software,Encryption,0.7605633802816901,0.6106492883707836,0.001,0.0006106492883707836,High
USA,2015,Phishing,Education,0.41069454216504175,0.29153301955242694,Insider,Social Engineering,Encryption,0.4225352112676057,0.3773142192017701,0.0006666666666666666,0.00025154281280118004,Low
Germany,2022,DDoS,IT,0.7807819881395116,0.9880075379474406,Hacker Group,Social Engineering,VPN,1.0,0.8867932554539879,0.0006666666666666666,0.0005911955036359919,High
China,2022,Ransomware,Telecommunications,0.15740275404563275,0.2360462404837417,Unknown,Social Engineering,Antivirus,0.5211267605633804,0.253740601280615,0.0016666666666666668,0.00042290100213435833,Medium
USA,2020,Man-in-the-Middle,Telecommunications,0.15207558548597852,0.2095943699578968,Nation-state,Zero-day,VPN,0.0,0.1389161037303583,0.0006666666666666666,9.261073582023886e-05,Low
Australia,2020,DDoS,Retail,0.35973464669816063,0.755793320930214,Unknown,Zero-day,Antivirus,0.6901408450704226,0.544633488642229,0.0006666666666666666,0.0003630889924281527,Medium
France,2015,SQL Injection,Retail,0.6122223339029048,0.6949683300123798,Insider,Unpatched Software,Antivirus,0.5915492957746479,0.6329115251100959,0.001,0.0006329115251100958,High
France,2018,SQL Injection,Retail,0.5349281334807519,0.7960350716715489,Nation-state,Unpatched Software,Encryption,0.8450704225352113,0.6752886727488828,0.001,0.0006752886727488829,High
